                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8209,                  3.116,                 1.7294,                 0.4027,                0.28655,                0.25538,                0.12344,                 1.9379,                 2.9834,                 1.9841,                0.00058,                0.00058,                0.00058
                      2,                 1.6273,                 1.8872,                 1.5613,                0.07148,                0.13743,                0.02303,                0.00723,                  2.851,                 8.1268,                 3.7573,               0.001154,               0.001154,               0.001154
                      3,                 1.6563,                 1.8467,                 1.6141,                  0.094,                0.44737,                0.06237,                0.02345,                 2.3666,                  22.98,                  3.376,              0.0017017,              0.0017017,              0.0017017
                      4,                 1.6896,                  1.851,                 1.6586,                0.18366,                0.39181,                0.18888,                0.07953,                 2.1748,                 14.717,                 2.7734,               0.001868,               0.001868,               0.001868
                      5,                 1.6459,                  1.706,                 1.5812,                0.35912,                0.35965,                0.27029,                0.12571,                 2.0669,                 5.7218,                 2.1199,               0.001824,               0.001824,               0.001824
                      6,                 1.6203,                 1.6945,                 1.5755,                0.43096,                0.46784,                0.40386,                0.19504,                 1.8183,                 3.7113,                 1.9941,                0.00178,                0.00178,                0.00178
                      7,                 1.6024,                 1.6111,                 1.5515,                0.42631,                0.31287,                0.29638,                0.14353,                  1.816,                 2.6254,                  1.978,               0.001736,               0.001736,               0.001736
                      8,                 1.5705,                 1.5821,                 1.5332,                0.46618,                0.44152,                0.43748,                0.20383,                  1.829,                 3.4908,                 1.8724,               0.001692,               0.001692,               0.001692
                      9,                  1.563,                 1.6145,                 1.5107,                0.42333,                    0.5,                0.40329,                0.18516,                 1.7047,                 2.4156,                 1.7789,               0.001648,               0.001648,               0.001648
                     10,                 1.5239,                 1.5058,                 1.4959,                0.66369,                0.49047,                0.57372,                 0.2933,                 1.6006,                 1.7376,                  1.699,               0.001604,               0.001604,               0.001604
                     11,                 1.4827,                 1.4501,                 1.4626,                0.55408,                0.54136,                0.52524,                0.27435,                 1.6927,                 2.0754,                 1.6998,                0.00156,                0.00156,                0.00156
                     12,                 1.4762,                  1.426,                 1.4508,                0.57813,                0.52047,                0.53861,                0.27871,                 1.5817,                 1.9312,                 1.6634,               0.001516,               0.001516,               0.001516
                     13,                 1.5004,                 1.4164,                  1.474,                0.61892,                 0.5731,                0.59697,                0.32152,                 1.5552,                 1.6797,                 1.6206,               0.001472,               0.001472,               0.001472
                     14,                 1.4393,                 1.3316,                 1.4475,                0.69524,                0.56031,                0.63093,                0.34698,                 1.6121,                 1.5533,                 1.6566,               0.001428,               0.001428,               0.001428
                     15,                  1.388,                 1.3185,                 1.3863,                0.68186,                0.52339,                0.59124,                0.32816,                 1.5661,                 1.5483,                  1.611,               0.001384,               0.001384,               0.001384
                     16,                 1.4187,                 1.3296,                 1.3959,                0.57108,                0.57018,                  0.594,                0.32252,                 1.4715,                 1.6384,                 1.5166,                0.00134,                0.00134,                0.00134
                     17,                 1.3429,                 1.2237,                  1.374,                0.69273,                0.62281,                0.68465,                0.37615,                 1.4894,                 1.3268,                 1.5494,               0.001296,               0.001296,               0.001296
                     18,                 1.4507,                 1.3233,                 1.4797,                0.72573,                0.62573,                0.70768,                0.39592,                 1.4781,                 1.2875,                 1.5168,               0.001252,               0.001252,               0.001252
                     19,                 1.3465,                 1.2294,                 1.3606,                0.61835,                 0.6345,                0.64889,                0.35592,                 1.5412,                 1.4362,                 1.5579,               0.001208,               0.001208,               0.001208
                     20,                  1.341,                 1.1818,                 1.3557,                0.70858,                0.65205,                0.70406,                0.38808,                 1.4652,                 1.3636,                 1.5355,               0.001164,               0.001164,               0.001164
                     21,                 1.2987,                 1.1391,                  1.337,                0.68019,                0.62281,                0.69373,                0.38223,                 1.4806,                 1.3097,                 1.5367,                0.00112,                0.00112,                0.00112
                     22,                 1.3384,                 1.1125,                 1.3769,                0.72678,                0.61404,                0.69355,                0.37743,                 1.4672,                  1.352,                  1.471,               0.001076,               0.001076,               0.001076
                     23,                 1.3178,                 1.1445,                 1.3403,                0.71309,                0.65405,                0.71494,                0.40434,                 1.4095,                 1.2199,                 1.4742,               0.001032,               0.001032,               0.001032
                     24,                 1.2721,                 1.0721,                 1.3183,                 0.6707,                0.64327,                0.68709,                0.38389,                 1.4316,                  1.317,                 1.4839,               0.000988,               0.000988,               0.000988
                     25,                 1.2351,                 1.0441,                  1.283,                 0.7518,                 0.6345,                0.72066,                0.40877,                 1.4844,                 1.2516,                 1.5322,               0.000944,               0.000944,               0.000944
                     26,                 1.2398,                 1.0896,                 1.3208,                0.76104,                0.66667,                0.74382,                0.44349,                 1.3523,                 1.1775,                 1.4202,                 0.0009,                 0.0009,                 0.0009
                     27,                 1.2541,                 1.0456,                 1.3177,                0.75167,                 0.6461,                0.71627,                0.43335,                 1.3981,                 1.2089,                  1.477,               0.000856,               0.000856,               0.000856
                     28,                 1.1982,                 1.0579,                 1.2924,                0.76168,                0.68129,                0.75114,                0.44387,                 1.3979,                 1.1867,                 1.4841,               0.000812,               0.000812,               0.000812
                     29,                 1.1438,                   1.11,                 1.2246,                0.70053,                0.66667,                   0.72,                0.42497,                 1.4735,                 1.2998,                 1.5294,               0.000768,               0.000768,               0.000768
                     30,                 1.1971,                0.96909,                  1.272,                0.69459,                0.67251,                0.72665,                0.41314,                 1.4329,                 1.2143,                 1.4799,               0.000724,               0.000724,               0.000724
                     31,                  1.179,                0.94636,                 1.2499,                0.73573,                0.66752,                0.74263,                0.44167,                 1.4257,                 1.1262,                 1.4606,                0.00068,                0.00068,                0.00068
                     32,                 1.1831,                0.98824,                 1.2612,                0.76216,                0.66959,                 0.7497,                0.44381,                 1.3675,                 1.1391,                 1.4506,               0.000636,               0.000636,               0.000636
                     33,                  1.132,                0.91023,                 1.2377,                0.76349,                0.70175,                 0.7739,                0.44038,                 1.4299,                 1.1213,                 1.4974,               0.000592,               0.000592,               0.000592
                     34,                   1.15,                0.89796,                 1.2511,                0.76598,                0.65205,                0.75537,                0.45052,                 1.3859,                 1.1208,                 1.4574,               0.000548,               0.000548,               0.000548
                     35,                  1.097,                0.87881,                 1.1953,                0.73708,                0.67218,                0.75443,                0.44397,                 1.3872,                 1.1071,                  1.485,               0.000504,               0.000504,               0.000504
                     36,                 1.0393,                0.85212,                 1.1774,                0.81176,                0.67544,                0.78152,                0.46099,                 1.4021,                 1.1407,                 1.4755,                0.00046,                0.00046,                0.00046
                     37,                 1.0577,                0.77517,                 1.2071,                0.78848,                0.69591,                 0.7936,                 0.4801,                 1.3542,                 1.0699,                 1.4483,               0.000416,               0.000416,               0.000416
                     38,                  1.005,                0.72386,                  1.158,                0.79267,                0.69298,                0.78025,                0.48307,                 1.3238,                 1.0605,                 1.4309,               0.000372,               0.000372,               0.000372
                     39,                0.99547,                0.73176,                 1.1366,                0.76623,                0.71879,                0.78754,                0.49795,                 1.3113,                 1.0609,                 1.4022,               0.000328,               0.000328,               0.000328
                     40,                0.97971,                0.69168,                 1.1417,                0.78125,                0.70175,                 0.7917,                0.49042,                 1.3275,                 1.0797,                 1.4405,               0.000284,               0.000284,               0.000284
