epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1421,1.9172,3.29078,1.92976,0.0012,0.14035,0.00076,0.00022,nan,nan,nan,0.00058,0.00058,0.00058
2,64.1458,1.89985,2.50113,1.92266,0.00021,0.00877,0.0001,3e-05,nan,nan,nan,0.00115404,0.00115404,0.00115404
3,92.8669,1.95408,2.30463,2.00636,0.00021,0.00877,0.0001,3e-05,nan,nan,nan,0.00170168,0.00170168,0.00170168
4,123.251,1.95587,2.3491,1.98356,0.00076,0.00292,0.00037,0.00026,nan,nan,nan,0.001868,0.001868,0.001868
5,152.903,1.88627,2.18909,1.9301,0.00296,0.06725,0.00158,0.00051,nan,nan,nan,0.001824,0.001824,0.001824
6,182.276,1.78913,2.14034,1.86244,0.00364,0.1345,0.00166,0.00085,nan,nan,nan,0.00178,0.00178,0.00178
7,212.546,1.79372,2.08842,1.8661,0.00479,0.00292,0.0038,0.00178,3.23511,5.35068,7.18611,0.001736,0.001736,0.001736
8,241.889,1.74296,1.99951,1.81178,0.01215,0.35673,0.00827,0.00365,2.48837,inf,3.02014,0.001692,0.001692,0.001692
9,273.799,1.73254,1.97451,1.77067,0.401,0.22807,0.22386,0.10155,2.34825,3.20398,2.60867,0.001648,0.001648,0.001648
10,303.344,1.65632,1.86469,1.7131,0.44177,0.37427,0.35575,0.1729,1.73712,2.30695,1.9387,0.001604,0.001604,0.001604
11,333.22,1.61422,1.83649,1.713,0.47355,0.46784,0.44397,0.21717,1.77497,2.16207,1.93456,0.00156,0.00156,0.00156
12,362.652,1.60741,1.77162,1.68991,0.47453,0.4269,0.41378,0.21446,1.68674,2.25254,1.87957,0.001516,0.001516,0.001516
13,391.331,1.58562,1.77262,1.64871,0.54649,0.33626,0.37892,0.18126,1.88626,2.27006,1.99972,0.001472,0.001472,0.001472
14,419.931,1.56272,1.67203,1.6796,0.6028,0.5117,0.55436,0.29824,1.61124,1.74579,1.72956,0.001428,0.001428,0.001428
15,451.123,1.55197,1.638,1.64069,0.59128,0.47076,0.52295,0.27747,1.60743,1.85764,1.82008,0.001384,0.001384,0.001384
16,484.107,1.58077,1.60529,1.62643,0.3908,0.33918,0.30756,0.14571,1.84268,2.37061,1.93706,0.00134,0.00134,0.00134
17,513.137,1.50389,1.62088,1.60559,0.60772,0.47564,0.54959,0.28331,1.59904,1.94972,1.76576,0.001296,0.001296,0.001296
18,541.944,1.51217,1.6098,1.63438,0.62379,0.5624,0.59981,0.33629,1.41895,1.62191,1.63057,0.001252,0.001252,0.001252
19,580.517,1.46382,1.50109,1.55412,0.50248,0.56108,0.55732,0.29307,1.53272,1.68116,1.66871,0.001208,0.001208,0.001208
20,610.584,1.46912,1.48271,1.57057,0.61779,0.51042,0.56192,0.3078,1.52557,1.71629,1.72703,0.001164,0.001164,0.001164
