                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8209,                  3.116,                 1.7294,                 0.4028,                0.28655,                0.25541,                0.12349,                 1.9708,                 2.9297,                  2.019,                0.00058,                0.00058,                0.00058
                      2,                 1.6273,                 1.8872,                 1.5613,                0.07148,                0.13743,                0.02291,                 0.0072,                   3.26,                 8.8205,                 4.3783,               0.001154,               0.001154,               0.001154
                      3,                 1.6563,                 1.8467,                 1.6141,                  0.094,                0.44737,                0.06237,                0.02361,                  2.505,                  22.57,                 3.6772,              0.0017017,              0.0017017,              0.0017017
                      4,                 1.6896,                  1.851,                 1.6586,                0.18366,                0.39181,                0.18335,                0.07903,                 2.1138,                 12.872,                 2.6263,               0.001868,               0.001868,               0.001868
                      5,                 1.6459,                  1.706,                 1.5812,                0.36089,                0.35965,                0.26982,                0.12553,                 2.0944,                 5.2926,                 2.1002,               0.001824,               0.001824,               0.001824
                      6,                 1.6203,                 1.6945,                 1.5755,                0.43096,                0.46784,                0.40359,                0.19465,                 1.9437,                 3.3743,                 2.1425,                0.00178,                0.00178,                0.00178
                      7,                 1.6024,                 1.6111,                 1.5515,                0.42631,                0.31287,                0.29636,                0.14355,                 1.8703,                 2.5255,                 1.9444,               0.001736,               0.001736,               0.001736
                      8,                 1.5705,                 1.5821,                 1.5332,                0.46618,                0.44152,                0.43734,                0.20395,                 1.8287,                 3.1416,                 1.8285,               0.001692,               0.001692,               0.001692
                      9,                  1.563,                 1.6145,                 1.5107,                0.42333,                    0.5,                0.40327,                0.18514,                 1.7824,                 2.2329,                 1.8003,               0.001648,               0.001648,               0.001648
                     10,                 1.5239,                 1.5058,                 1.4959,                0.66369,                0.49047,                0.57383,                0.29329,                 1.6429,                 1.7532,                 1.7077,               0.001604,               0.001604,               0.001604
                     11,                 1.4827,                 1.4501,                 1.4626,                0.55408,                0.54136,                0.52503,                0.27452,                 1.6229,                 1.9416,                 1.6504,                0.00156,                0.00156,                0.00156
                     12,                 1.4762,                  1.426,                 1.4508,                0.58584,                0.52047,                 0.5387,                0.27861,                 1.6154,                 1.8979,                 1.6867,               0.001516,               0.001516,               0.001516
                     13,                 1.5004,                 1.4164,                  1.474,                0.61892,                 0.5731,                  0.597,                0.32153,                 1.5293,                 1.5757,                 1.5891,               0.001472,               0.001472,               0.001472
                     14,                 1.4393,                 1.3316,                 1.4475,                0.69524,                0.56031,                0.63096,                  0.347,                 1.6502,                 1.5211,                 1.6815,               0.001428,               0.001428,               0.001428
                     15,                  1.388,                 1.3185,                 1.3863,                0.68186,                0.52339,                 0.5913,                 0.3281,                 1.6081,                 1.4765,                 1.6424,               0.001384,               0.001384,               0.001384
                     16,                 1.4187,                 1.3296,                 1.3959,                0.57251,                0.57018,                0.59404,                0.32243,                 1.5313,                 1.5876,                 1.5547,                0.00134,                0.00134,                0.00134
                     17,                 1.3429,                 1.2237,                  1.374,                0.69273,                0.62281,                 0.6847,                0.37616,                 1.5469,                 1.3305,                  1.595,               0.001296,               0.001296,               0.001296
                     18,                 1.4507,                 1.3233,                 1.4797,                0.72573,                0.62573,                0.70787,                0.39607,                 1.4978,                 1.3021,                 1.5239,               0.001252,               0.001252,               0.001252
                     19,                 1.3465,                 1.2294,                 1.3606,                0.61835,                 0.6345,                0.64895,                0.35597,                 1.5952,                 1.4897,                 1.5893,               0.001208,               0.001208,               0.001208
                     20,                  1.341,                 1.1818,                 1.3557,                0.70858,                0.65205,                0.70403,                 0.3881,                 1.4832,                 1.3856,                  1.539,               0.001164,               0.001164,               0.001164
